PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 65435 211.138.30.66 53 dlied6.qq.com
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 62384 10.8.10.21 53 dr.zc.baidu.com
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
PNB10>dnsquery3 1517276746 74-25-8a-c2-37-00 202.112.137.78 61808 10.8.10.24 53 mail.bupt.edu.cn
