PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 54706 202.106.195.68 53 teredo.ipv6.microsoft.com
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 57893 211.138.30.66 53 dygame1.duoyi.com
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 50909 223.5.5.5 53 agent.sj.qq.com
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64582 10.1.2.8 53 ssl.gstatic.com
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64582 10.1.2.8 53 ssl.gstatic.com
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 64742 10.8.10.24 53 api.foxitreader.cn
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 52367 211.138.30.66 53 dlied6.qq.com
PNB10>dnsquery3 1517276581 74-25-8a-c2-37-00 202.112.137.78 60631 10.1.2.8 53 caldav.163.com
