0：应用程序信息：redis
1：应用程序信息：redis connect
2：系统服务信息：Microsoft-Windows-Audio *
3：应用程序信息：Start ECAgent
4：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
5：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
6：系统服务信息：Microsoft-Windows-AppXDeployment[2512] *
7：系统服务信息：Microsoft-Windows-Bits-Client[9768] *
8：系统服务信息：Microsoft-Windows-Security-Auditing[900] * 
9：系统服务信息：Microsoft-Client-Licensing-Platform[14548] *
10：安全审核信息：Microsoft-Windows-Security-Auditing[900] *
11：安全审核信息：Microsoft-Windows-Security-Auditing[900]
12：系统服务信息：Microsoft-Client-Licensing-Platform *
13：安全审核信息：Microsoft-Windows-Security-Mitigations[6192] *
14：系统服务信息：Microsoft-Windows-DNS-Client[960] *
15：系统服务信息：Microsoft-Client-Licensing-Platform[16232] *
16：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
17：系统服务信息：# Microsoft-Windows-GroupPolicy[15828] *
18：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
19：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
20：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
21：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
22：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
23：系统服务信息：Microsoft-Windows-GroupPolicy *
24：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
25：系统服务信息：Microsoft-Windows-GroupPolicy *
26：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
27：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
28：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
29：网络配置信息：Microsoft-Windows-NCSI[1932] *
30：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
31：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
32：系统服务信息：Microsoft-Windows-GroupPolicy[15828] *
33：网络配置信息：Microsoft-Windows-NetworkProfile[2156] *
34：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
35：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
36：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
37：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
38：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
39：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
40：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
41：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
42：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
43：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
44：系统服务信息：Microsoft-Windows-PushNotifications-Platform *
45：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
46：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
47：系统服务信息：Microsoft-Windows-PushNotifications-Platform[4240] *
48：系统服务信息：Microsoft-Windows-RestartManager[7780] * 
49：系统服务信息：Microsoft-Windows-RestartManager[7780] *
50：应用程序信息：Microsoft-Windows-Shell-Core[7780] *
51：系统服务信息：Microsoft-Windows-Shell-Core[7780] *
52：系统服务信息：Microsoft-Windows-PushNotifications-Platform[6192] *
53：系统服务信息：ESENT[0]
54：安全审核信息：Microsoft-Windows-Security-SPP[0] *
55：安全审核信息：Microsoft-Windows-Security-SPP[0] *
56：安全审核信息：Microsoft-Windows-Security-SPP[0] *
57：安全审核信息：Microsoft-Windows-Security-SPP[0] *
58：安全审核信息：Microsoft-Windows-Security-SPP[0] *
59：安全审核信息：Microsoft-Windows-Security-SPP[0] *
60：安全审核信息：Microsoft-Windows-Security-SPP[0] *
61：系统服务信息：Microsoft-Windows-KnownFolders[15892] *
62：安全审核信息：Microsoft-Windows-Security-Auditing[900] *
63：系统服务信息：Microsoft-Client-Licensing-Platform[12300] *
64：系统服务信息：Microsoft-Windows-Kernel-EventTracing[4] *
65：系统服务信息：Microsoft-Windows-Kernel-EventTracing[4] *
66：系统服务信息：Microsoft-Client-Licensing-Platform[8744] *
67：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
68：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
69：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
70：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
71：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
72：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
73：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
74：系统服务信息：Microsoft-Windows-GroupPolicy[16244] *
75：系统服务信息： Microsoft-Windows-GroupPolicy[16244] *
